run,variant,ok,fb,stage,n_iter
33,base,False,50.74284637467171,hgca_cma_failed,91566
33,auto_raw,False,50.74284637467171,hgca_cma_failed,91566
33,auto_orth,True,0.0,struct_pcu_ok,2
34,base,False,74.62172731370788,hgca_cma_failed,78095
34,auto_raw,False,74.62172731370788,hgca_cma_failed,78095
34,auto_orth,True,0.0,struct_pcu_ok,2
35,base,False,45.768000391803035,hgca_cma_failed,96388
35,auto_raw,False,45.768000391803035,hgca_cma_failed,96388
35,auto_orth,True,0.0,struct_pcu_ok,2
36,base,False,54.72265736851133,hgca_cma_failed,91901
36,auto_raw,False,54.72265736851133,hgca_cma_failed,91901
36,auto_orth,True,0.0,struct_pcu_ok,2
37,base,False,62.68225897657914,hgca_cma_failed,80841
37,auto_raw,False,62.68225897657914,hgca_cma_failed,80841
37,auto_orth,True,0.0,struct_pcu_ok,2
38,base,False,70.64198213072768,hgca_cma_failed,82265
38,auto_raw,False,70.64198213072768,hgca_cma_failed,82265
38,auto_orth,True,0.0,struct_pcu_ok,2
39,base,False,49.74790751429286,hgca_cma_failed,77447
39,auto_raw,False,49.74790751429286,hgca_cma_failed,77447
39,auto_orth,True,0.0,struct_pcu_ok,2
40,base,False,46.763000025222226,hgca_cma_failed,78091
40,auto_raw,False,46.763000025222226,hgca_cma_failed,78091
40,auto_orth,True,0.0,struct_pcu_ok,2
41,base,False,59.697422381625174,hgca_cma_failed,79846
41,auto_raw,False,59.697422381625174,hgca_cma_failed,79846
41,auto_orth,True,0.0,struct_pcu_ok,2
42,base,False,40.79326587937694,hgca_cma_failed,86760
42,auto_raw,False,40.79326587937694,hgca_cma_failed,86760
42,auto_orth,True,0.0,struct_pcu_ok,2
43,base,False,54.7226624063304,hgca_cma_failed,79850
43,auto_raw,False,54.7226624063304,hgca_cma_failed,79850
43,auto_orth,True,0.0,struct_pcu_ok,2
44,base,False,104.47030630675694,hgca_cma_failed,79517
44,auto_raw,False,104.47030630675694,hgca_cma_failed,79517
44,auto_orth,True,0.0,struct_pcu_ok,2
45,base,False,56.71250967183847,hgca_cma_failed,96389
45,auto_raw,False,56.71250967183847,hgca_cma_failed,96389
45,auto_orth,True,0.0,struct_pcu_ok,2
46,base,False,56.71259064159329,hgca_cma_failed,86749
46,auto_raw,False,56.71259064159329,hgca_cma_failed,86749
46,auto_orth,True,0.0,struct_pcu_ok,2
47,base,False,62.68225897657914,hgca_cma_failed,77481
47,auto_raw,False,62.68225897657914,hgca_cma_failed,77481
47,auto_orth,True,0.0,struct_pcu_ok,2
48,base,False,60.692345900211635,hgca_cma_failed,77777
48,auto_raw,False,60.692345900211635,hgca_cma_failed,77777
48,auto_orth,True,0.0,struct_pcu_ok,2
49,base,False,76.61164542789447,hgca_cma_failed,77112
49,auto_raw,False,76.61164542789447,hgca_cma_failed,77112
49,auto_orth,True,0.0,struct_pcu_ok,2
