problem,solver,run,conv,time_ms,nit,stage
Beale_2D_C,v71,16,1,790.5,24528,hgca_cma_refined
Beale_2D_C,v54,17,1,918.1,25208,hgca_cma_refined
Beale_2D_C,v71,17,1,698.6,25208,hgca_cma_refined
Beale_2D_C,v54,18,1,263.0,17401,hgca_cma_refined
Beale_2D_C,v71,18,1,193.2,17401,hgca_cma_refined
Beale_2D_C,v54,19,1,294.7,21888,hgca_cma_refined
Beale_2D_C,v71,19,1,299.2,21888,hgca_cma_refined
Beale_2D_C,v54,20,1,274.0,25984,hgca_cma_refined
Beale_2D_C,v71,20,1,290.0,25984,hgca_cma_refined
Beale_2D_C,v54,21,1,195.7,18153,hgca_cma_refined
Beale_2D_C,v71,21,1,217.9,18153,hgca_cma_refined
Beale_2D_C,v54,22,1,260.1,19897,hgca_cma_refined
Beale_2D_C,v71,22,1,567.6,19897,hgca_cma_refined
Beale_2D_C,v54,23,1,564.8,18969,hgca_cma_refined
Beale_2D_C,v71,23,1,558.1,18969,hgca_cma_refined
Beale_2D_C,v54,24,1,748.7,23296,hgca_cma_refined
Beale_2D_C,v71,24,1,731.7,23296,hgca_cma_refined
Beale_2D_C,v54,25,1,612.8,20001,hgca_cma_refined
Beale_2D_C,v71,25,1,590.0,20001,hgca_cma_refined
Beale_2D_C,v54,26,1,719.4,22760,hgca_cma_refined
Beale_2D_C,v71,26,1,666.3,22760,hgca_cma_refined
Beale_2D_C,v54,27,1,592.0,18217,hgca_cma_refined
Beale_2D_C,v71,27,1,610.4,18217,hgca_cma_refined
Beale_2D_C,v54,28,1,789.0,24759,hgca_cma_refined
Beale_2D_C,v71,28,1,780.7,24759,hgca_cma_refined
Beale_2D_C,v54,29,1,598.0,19305,hgca_cma_refined
Beale_2D_C,v71,29,1,629.3,19305,hgca_cma_refined
Beale_2D_E,v54,0,1,690.0,26361,hgca_cma_refined
Beale_2D_E,v71,0,1,736.5,26361,hgca_cma_refined
Beale_2D_E,v54,1,1,601.1,20242,hgca_cma_refined
Beale_2D_E,v71,1,1,753.3,20242,hgca_cma_refined
Beale_2D_E,v54,2,1,623.0,19578,hgca_cma_refined
Beale_2D_E,v71,2,1,613.5,19578,hgca_cma_refined
Beale_2D_E,v54,3,1,590.0,23961,hgca_cma_refined
Beale_2D_E,v71,3,1,582.6,23961,hgca_cma_refined
Beale_2D_E,v54,4,1,679.0,25233,hgca_cma_refined
Beale_2D_E,v71,4,1,699.1,25233,hgca_cma_refined
Beale_2D_E,v54,5,1,821.2,27225,hgca_cma_refined
Beale_2D_E,v71,5,1,836.9,27225,hgca_cma_refined
Beale_2D_E,v54,6,1,737.5,26033,hgca_cma_refined
Beale_2D_E,v71,6,1,728.4,26033,hgca_cma_refined
Beale_2D_E,v54,7,1,717.4,27417,hgca_cma_refined
Beale_2D_E,v71,7,1,826.0,27417,hgca_cma_refined
Beale_2D_E,v54,8,1,808.0,25505,hgca_cma_refined
Beale_2D_E,v71,8,1,713.4,25505,hgca_cma_refined
Beale_2D_E,v54,9,1,769.9,24585,hgca_cma_refined
Beale_2D_E,v71,9,1,695.0,24585,hgca_cma_refined
Beale_2D_E,v54,10,1,770.2,25305,hgca_cma_refined
Beale_2D_E,v71,10,1,751.0,25305,hgca_cma_refined
Beale_2D_E,v54,11,1,725.0,25425,hgca_cma_refined
Beale_2D_E,v71,11,1,774.3,25425,hgca_cma_refined
Beale_2D_E,v54,12,1,746.2,24977,hgca_cma_refined
Beale_2D_E,v71,12,1,721.2,24977,hgca_cma_refined
Beale_2D_E,v54,13,1,799.3,26593,hgca_cma_refined
Beale_2D_E,v71,13,1,668.2,26593,hgca_cma_refined
Beale_2D_E,v54,14,1,660.0,26769,hgca_cma_refined
Beale_2D_E,v71,14,1,824.9,26769,hgca_cma_refined
Beale_2D_E,v54,15,1,723.0,26545,hgca_cma_refined
Beale_2D_E,v71,15,1,741.2,26545,hgca_cma_refined
Beale_2D_E,v54,16,1,726.3,24425,hgca_cma_refined
Beale_2D_E,v71,16,1,709.9,24425,hgca_cma_refined
Beale_2D_E,v54,17,1,723.0,25153,hgca_cma_refined
Beale_2D_E,v71,17,1,706.0,25153,hgca_cma_refined
Beale_2D_E,v54,18,1,752.7,26809,hgca_cma_refined
Beale_2D_E,v71,18,1,869.5,26809,hgca_cma_refined
Beale_2D_E,v54,19,1,769.7,23058,hgca_cma_refined
Beale_2D_E,v71,19,1,657.9,23058,hgca_cma_refined
Beale_2D_E,v54,20,1,792.7,27281,hgca_cma_refined
Beale_2D_E,v71,20,1,723.0,27281,hgca_cma_refined
Beale_2D_E,v54,21,1,696.9,23554,hgca_cma_refined
Beale_2D_E,v71,21,1,718.3,23554,hgca_cma_refined
Beale_2D_E,v54,22,1,728.5,26441,hgca_cma_refined
Beale_2D_E,v71,22,1,773.1,26441,hgca_cma_refined
Beale_2D_E,v54,23,1,786.6,25809,hgca_cma_refined
Beale_2D_E,v71,23,1,735.0,25809,hgca_cma_refined
Beale_2D_E,v54,24,1,698.0,25409,hgca_cma_refined
Beale_2D_E,v71,24,1,723.8,25409,hgca_cma_refined
Beale_2D_E,v54,25,1,698.1,24369,hgca_cma_refined
Beale_2D_E,v71,25,1,693.3,24369,hgca_cma_refined
Beale_2D_E,v54,26,1,750.0,26793,hgca_cma_refined
Beale_2D_E,v71,26,1,742.4,26793,hgca_cma_refined
Beale_2D_E,v54,27,1,768.0,27601,hgca_cma_refined
Beale_2D_E,v71,27,1,756.3,27601,hgca_cma_refined
Beale_2D_E,v54,28,1,666.1,24849,hgca_cma_refined
Beale_2D_E,v71,28,1,764.2,24849,hgca_cma_refined
Beale_2D_E,v54,29,1,780.1,27233,hgca_cma_refined
Beale_2D_E,v71,29,1,584.1,27233,hgca_cma_refined
Beale_2D_H,v54,0,1,287.6,5598,hgca_cma_refined
Beale_2D_H,v71,0,1,275.0,5598,hgca_cma_refined
Beale_2D_H,v54,1,1,164.3,0,homotopy_direct
Beale_2D_H,v71,1,1,103.0,0,homotopy_direct
Beale_2D_H,v54,2,1,289.3,4356,hgca_cma_refined
Beale_2D_H,v71,2,1,261.0,4356,hgca_cma_refined
Beale_2D_H,v54,3,1,161.6,0,homotopy_direct
Beale_2D_H,v71,3,1,162.2,0,homotopy_direct
