problem,solver,run,conv,time_ms,nit,stage
Beale_2D,hgca_v67,25,1,1.0,24,direct_newton
Beale_2D,hgca_v54,25,1,1.0,24,direct_newton
Beale_2D,bipop,25,1,384.1,30255,
Beale_2D,nbipop,25,1,268.6,21510,
Beale_2D,hgca_v67,26,1,48.5,0,homotopy_direct
Beale_2D,hgca_v54,26,1,47.0,0,homotopy_direct
Beale_2D,bipop,26,1,371.2,30126,
Beale_2D,nbipop,26,1,268.5,21222,
Beale_2D,hgca_v67,27,1,53.0,0,homotopy_direct
Beale_2D,hgca_v54,27,1,54.0,0,homotopy_direct
Beale_2D,bipop,27,1,393.0,30122,
Beale_2D,nbipop,27,1,265.6,20970,
Beale_2D,hgca_v67,28,1,39.0,0,homotopy_direct
Beale_2D,hgca_v54,28,1,38.0,0,homotopy_direct
Beale_2D,bipop,28,1,392.0,30347,
Beale_2D,nbipop,28,1,257.4,21546,
Beale_2D,hgca_v67,29,1,31.1,0,homotopy_direct
Beale_2D,hgca_v54,29,1,31.9,0,homotopy_direct
Beale_2D,bipop,29,1,417.6,30334,
Beale_2D,nbipop,29,1,268.6,21486,
Beale_2D_C,hgca_v67,0,1,241.0,25888,hgca_cma_refined
Beale_2D_C,hgca_v54,0,1,237.0,25888,hgca_cma_refined
Beale_2D_C,bipop,0,1,443.5,30234,
Beale_2D_C,nbipop,0,1,279.6,22050,
Beale_2D_C,hgca_v67,1,1,188.0,18321,hgca_cma_refined
Beale_2D_C,hgca_v54,1,1,185.1,18321,hgca_cma_refined
Beale_2D_C,bipop,1,1,398.2,30071,
Beale_2D_C,nbipop,1,1,267.0,21822,
Beale_2D_C,hgca_v67,2,1,212.0,22688,hgca_cma_refined
Beale_2D_C,hgca_v54,2,1,215.2,22688,hgca_cma_refined
Beale_2D_C,bipop,2,1,412.1,30230,
Beale_2D_C,nbipop,2,1,280.6,21918,
Beale_2D_C,hgca_v67,3,1,175.0,17080,hgca_cma_refined
Beale_2D_C,hgca_v54,3,1,175.0,17080,hgca_cma_refined
Beale_2D_C,bipop,3,1,439.2,30105,
Beale_2D_C,nbipop,3,1,283.8,21774,
Beale_2D_C,hgca_v67,4,1,222.1,22936,hgca_cma_refined
Beale_2D_C,hgca_v54,4,1,215.3,22936,hgca_cma_refined
Beale_2D_C,bipop,4,1,435.3,30343,
Beale_2D_C,nbipop,4,1,398.7,24030,
Beale_2D_C,hgca_v67,5,1,183.2,17953,hgca_cma_refined
Beale_2D_C,hgca_v54,5,1,182.0,17953,hgca_cma_refined
Beale_2D_C,bipop,5,1,399.5,30172,
Beale_2D_C,nbipop,5,1,288.6,22122,
Beale_2D_C,hgca_v67,6,1,236.5,25768,hgca_cma_refined
Beale_2D_C,hgca_v54,6,1,238.3,25768,hgca_cma_refined
Beale_2D_C,bipop,6,1,403.0,30030,
Beale_2D_C,nbipop,6,1,274.6,22086,
Beale_2D_C,hgca_v67,7,1,217.9,23824,hgca_cma_refined
Beale_2D_C,hgca_v54,7,1,214.9,23824,hgca_cma_refined
Beale_2D_C,bipop,7,1,393.3,30158,
Beale_2D_C,nbipop,7,1,285.0,22086,
Beale_2D_C,hgca_v67,8,1,178.1,16560,hgca_cma_refined
Beale_2D_C,hgca_v54,8,1,174.4,16560,hgca_cma_refined
Beale_2D_C,bipop,8,1,453.2,30029,
Beale_2D_C,nbipop,8,1,407.0,23718,
Beale_2D_C,hgca_v67,9,1,211.2,22231,hgca_cma_refined
Beale_2D_C,hgca_v54,9,1,211.3,22231,hgca_cma_refined
Beale_2D_C,bipop,9,1,410.7,30223,
Beale_2D_C,nbipop,9,1,270.9,22038,
Beale_2D_C,hgca_v67,10,1,228.9,25816,hgca_cma_refined
Beale_2D_C,hgca_v54,10,1,236.0,25816,hgca_cma_refined
Beale_2D_C,bipop,10,1,469.9,30085,
Beale_2D_C,nbipop,10,1,281.4,21822,
Beale_2D_C,hgca_v67,11,1,213.0,22216,hgca_cma_refined
Beale_2D_C,hgca_v54,11,1,213.5,22216,hgca_cma_refined
Beale_2D_C,bipop,11,1,440.5,30010,
Beale_2D_C,nbipop,11,1,307.0,22110,
Beale_2D_C,hgca_v67,12,1,176.9,17913,hgca_cma_refined
Beale_2D_C,hgca_v54,12,1,178.0,17913,hgca_cma_refined
